npi,communityId
1003013947,2293
1003019902,713
1003028770,567
1003031261,1186
1003037029,567
1003050972,713
1003063314,713
1003071333,1901
1003075862,2186
1003077728,713
1003090424,2293
1003098963,713
1003101684,567
1003104571,1474
1003111071,275
1003112277,2186
1003113200,2293
1003145541,1186
1003149147,713
1003152208,2293
1003153743,275
1003168287,1186
1003184243,713
1003185810,6486
1003198359,2186
1003202292,2289
1003224155,1295
1003245739,713
1003258484,713
1003297318,257
1003354861,713
1003801788,2293
1003801937,235
1003802042,2293
1003811696,713
1003813593,2293
1003815697,2293
1003815978,2293
1003819277,1186
1003819772,2293
1003833872,567
1003845264,2186
1003847492,235
1003854001,2186
1003854258,235
1003855537,713
1003858267,2307
1003860982,1186
1003862566,1186
1003863580,235
1003871815,2186
1003875824,7307
1003876236,2293
1003897380,2293
1003903113,713
1003903121,1295
1003903139,713
1003905969,2186
1003906751,1295
1003907049,2186
1003907775,2186
1003908435,713
1003910688,1186
1003910712,2289
1003914201,2186
1003922881,567
1003941659,1186
1003963976,567
1003990110,713
1003991167,1465
1013004142,713
1013009448,713
1013010719,2293
1013013234,567
1013025519,1295
1013026806,1465
1013042910,1186
1013058361,7093
1013064153,713
1013064831,1474
1013064989,713
1013067156,2293
1013071984,1186
1013074848,2289
1013079383,713
1013095264,2293
1013107697,713
1013109511,2186
1013116169,7320
1013118082,713
1013118090,713
1013154723,567
1013156231,1476
1013175215,2307
1013178383,2307
1013179860,2289
1013182476,275
1013182526,1186
1013184340,1186
1013201649,713
1013224617,2307
1013226026,2307
1013233279,2289
1013233865,1186
1013236892,5412
1013245588,1476
1013273044,1186
1013285972,1186
1013302777,2289
1013312974,713
1013313626,1186
1013342062,2293
1013348705,2186
1013386929,235
1013391622,2293
1013453729,713
1013453844,2289
1013455310,1186
1013461912,1474
1013465699,2186
1013902782,2293
1013903921,1186
1013905322,1186
1013908730,1186
1013918499,1295
1013920735,1295
1013922020,2289
1013922038,2293
1013928506,713
1013930494,235
1013945096,713
1013957976,1186
1013958776,713
1013960905,2186
1013961473,2186
1013962687,2186
1013964741,1901
1013967157,1295
1013970649,1186
1013973387,2293
1013977669,1186
1013983832,235
1013986603,2307
1013991850,2293
1013992106,2293
1013996222,2293
1013996776,1476
1023000999,2293
1023004041,1186
1023004264,2293
1023009818,1186
1023023041,2293
1023023058,713
1023025475,2307
1023046554,1186
1023046794,1186
1023046901,713
1023047792,169
1023055126,2293
1023064540,2293
1023065232,1186
1023066149,2186
1023069887,713
1023076882,2186
1023078243,2186
1023094851,2293
1023099074,2289
1023100435,713
1023103462,2293
1023105137,713
1023105145,713
1023105152,713
1023109105,1295
1023115961,567
1023152303,713
1023165909,713
1023171576,169
1023189768,1474
1023192135,713
1023200235,2186
1023204278,1186
1023205531,2186
1023220753,713
1023223898,235
1023245602,169
1023251428,2293
1023252566,713
1023253549,1474
1023259132,1186
1023262466,713
1023272754,1186
1023286176,275
1023290251,2293
1023295664,1186
1023302429,7094
1023307022,713
1023309747,1186
1023312444,713
1023327814,1295
1023335593,713
1023337979,567
1023343910,2293
1023351848,713
1023362902,713
1023363991,2186
1023410271,2186
1023430824,235
1023433067,4252
1023434248,2307
1023434438,713
1023452331,567
1023454592,1186
1023461894,1186
1033100763,1186
1033103551,2293
1033109285,6842
1033132444,2186
1033143763,2293
1033144647,1186
1033150404,1186
1033154786,2293
1033156898,2289
1033168059,713
1033182704,2289
1033184320,2289
1033187810,2186
1033190954,2293
1033200852,2289
1033204037,235
1033206149,713
1033206156,713
1033215157,2293
1033225073,567
1033226592,567
1033227764,1186
1033230404,713
1033246640,713
1033256425,1465
1033277116,1465
1033293147,713
1033293154,713
1033297429,567
1033310206,2289
1033311196,2186
1033311360,713
1033313127,2289
1033316484,2289
1033323159,235
1033326335,275
1033353727,1295
1033356506,275
1033368543,1186
1033391008,1186
1033408828,275
1033455761,1476
1033457387,6565
1033459565,5640
1033459672,2307
1033472592,2293
1033482393,2307
1033488432,2293
1033500566,567
1033507124,2186
1033514773,2307
1033516331,6566
1033532585,2293
1033536453,713
1033537576,2293
1033542980,567
1033569462,1295
1033570015,2186
1033584461,225
1033588462,2293
1033590526,2293
1033597869,6747
1033599329,6875
1033633268,6844
1033653373,429
1033653852,975
1043203516,6596
1043205008,1295
1043206329,567
1043206386,1186
1043217854,2293
1043218654,1476
1043219165,1186
1043220320,713
1043220494,2186
1043226293,713
1043229495,713
1043232879,1186
1043244049,5643
1043244783,235
1043248685,429
1043250186,2293
1043253537,713
1043267107,235
1043275266,2186
1043281710,2186
1043288509,5553
1043291370,1186
1043294747,2293
1043296262,1186
1043296890,713
1043297542,235
1043299464,2289
1043300288,1186
1043302466,713
1043310428,2186
1043313984,2307
1043318157,2293
1043319486,713
1043326127,2186
1043351471,2186
1043394166,713
1043399603,235
1043400435,7407
1043404510,235
1043411564,713
1043415532,2186
1043451073,713
1043453632,713
1043475288,567
1043477680,2307
1043480676,567
1043481369,2293
1043484447,567
1043493927,2293
1043515497,2289
1043522311,2293
1043533730,7392
1043548001,1476
1043571110,7321
1043576689,1186
1043595986,713
1043614175,1186
1043615644,1295
1043621683,567
1043629561,713
1043647142,5645
1043663719,2293
1043668791,1186
1043669948,235
1043671647,2293
1043750201,1476
1043755986,713
1053301556,2307
1053303214,1186
1053303248,2293
1053306175,235
1053308502,713
1053309492,2186
1053310961,2293
1053314963,1186
1053317149,7095
1053317685,2289
1053322818,713
1053335984,2293
1053336826,275
1053337717,2293
1053338236,567
1053340190,5544
1053343251,713
1053347344,2307
1053349100,713
1053350074,2186
1053350215,1465
1053366369,2289
1053378505,567
1053380881,1901
1053382648,2186
1053387977,1295
1053390682,713
1053394916,2293
1053406405,2293
1053408567,2307
1053414581,2289
1053421941,567
1053425181,1295
1053449660,713
1053452128,713
1053452482,713
1053453795,2289
1053468926,713
1053470062,2293
1053495168,713
1053502252,2186
1053519785,2293
1053521997,713
1053530469,7311
1053547729,7177
1053559187,713
1053566695,275
1053578153,713
1053596437,2307
1053604330,1474
1053608364,2293
1053631705,713
1053638148,713
1053639195,713
1053650382,235
1053654947,5615
1053663310,1186
1053663716,1186
1053670265,235
1053679951,2293
1053698530,5650
1053713685,2289
1053719682,275
1053729327,1476
1053741272,1186
1053753541,567
1053760595,1186
1053768218,1186
1053789719,1186
1053843938,713
1053862276,2293
1053864819,2289
1053867184,2289
1063403095,6869
1063403434,1186
1063404085,275
1063407351,2293
1063407534,2307
1063407856,235
1063409845,6598
1063415131,2307
1063416436,2293
1063416592,5549
1063445641,713
1063449031,713
1063449627,567
1063452399,1186
1063452423,1465
1063452902,1186
1063457315,1186
1063458255,1186
1063462315,713
1063462711,275
1063467504,6747
1063467876,1186
1063473833,235
1063483568,235
1063485274,1295
1063485373,1186
1063487536,235
1063487551,2293
1063502029,1186
1063502037,1186
1063506921,2293
1063520666,1901
1063525665,1476
1063528651,1186
1063530582,713
1063539096,1186
1063547610,1186
1063578334,1186
1063596161,713
1063604312,2186
1063634376,1186
1063659209,5564
1063665198,713
1063671832,2293
1063673622,2293
1063704773,713
1063704856,235
1063709392,1465
1063730059,1186
1063739480,2293
1063742229,2293
1063768323,6489
1063774537,2293
1063774552,1295
1063788826,1186
1063829323,2293
1063831097,1901
1063835320,713
1063837854,567
1063864775,713
1063870137,1476
1063884138,2293
1063937670,2289
1063947141,2307
1063956589,2289
1063965168,1186
1073050209,713
1073058111,2289
1073065702,713
1073500377,235
1073505830,1186
1073506408,1474
1073509097,2293
1073514501,713
1073514832,1186
1073516001,2307
1073516225,6503
1073516340,1186
1073518734,1901
1073524906,1186
1073537072,2293
1073539607,235
1073539821,6569
1073547402,2293
1073547709,1186
1073549176,1186
1073553608,2289
1073556023,1186
1073557831,2293
1073559753,2293
1073559803,235
1073562963,2186
1073566212,567
1073566626,2186
1073576104,2307
1073580338,1186
1073581922,1186
1073583449,2186
1073585774,169
1073589305,1465
1073590329,2293
1073591467,1186
1073591731,6932
1073592762,2186
1073594099,567
1073598066,235
1073600102,713
1073605481,713
1073605499,713
1073606000,713
1073607784,713
1073612412,713
1073627170,713
1073633780,235
1073664280,1186
1073692158,567
1073692638,2293
1073697181,713
1073704367,567
1073705620,1186
1073727301,2293
1073728143,2186
1073733093,1186
1073741211,2293
1073742250,1295
1073750527,6747
1073754032,2307
1073760773,6103
1073773982,1186
1073775706,2293
1073777470,713
1073779930,713
1073781217,1295
1073791612,713
1073796470,2289
1073797502,713
1073807632,2767
1073808747,713
1073825626,1186
1073833513,5534
1073834560,713
1073856696,2293
1073873972,2293
1073880159,1186
1073892451,2293
1073905774,567
1073911889,2307
1073912168,713
1073919619,2293
1073921011,713
1073922167,6847
1073922829,2293
1073958476,7097
1073962981,713
1073966503,2307
1073983920,2307
1073986410,713
1073994067,2307
1073997532,2289
1083002570,2293
1083012181,1186
1083028286,2293
1083033476,713
1083033609,713
1083035489,235
1083037279,2293
1083059372,257
1083097711,235
1083151179,713
1083601397,713
1083605398,1186
1083606248,2293
1083607279,2307
1083608459,3321
1083609481,5553
1083610547,2307
1083611313,2289
1083611651,1186
1083614044,2186
1083615934,2293
1083616387,1186
1083618680,1186
1083632897,1901
1083637490,2186
1083640221,2186
1083648604,713
1083655518,2186
1083657027,1295
1083658694,7128
1083659163,2186
1083660518,2307
1083661730,2293
1083665962,2293
1083668453,235
1083668594,235
1083676753,6035
1083680706,235
1083686513,1186
1083687305,2289
1083689566,6747
1083701106,713
1083703540,2186
1083706402,713
1083710172,567
1083712939,713
1083713424,713
1083715031,2293
1083719777,1186
1083734339,275
1083737589,2186
1083749352,2186
1083776744,1901
1083796320,713
1083798193,713
1083816813,2186
1083818983,713
1083841993,713
1083859730,713
1083865976,2293
1083869002,1186
1083871164,713
1083881064,2186
1083887954,235
1083890941,713
1083905822,2293
1083921498,2289
1083941512,2289
1083941769,713
1083953848,2289
1083954929,567
1083993760,275
1093008955,713
1093017584,713
1093028599,713
1093030660,713
1093031460,2307
1093036105,169
1093045130,1186
1093046054,713
1093051427,713
1093058018,2293
1093075186,2186
1093098956,1901
1093124471,2293
1093159444,2293
1093170318,713
1093189359,2186
1093189409,713
1093198244,225
1093251217,2289
1093255648,2293
1093706962,2293
1093707937,235
1093716748,713
1093718272,2307
1093720757,2307
1093738536,2186
1093739617,235
1093741464,1186
1093742736,2186
1093745721,713
1093748246,1303
1093749723,713
1093750564,235
1093753303,235
1093753626,567
1093753840,2293
1093754327,567
1093757643,2293
1093766966,1186
1093768137,1295
1093769606,2293
1093771594,2293
1093776122,713
1093791063,1186
1093800104,713
1093802068,2186
1093802126,713
1093807422,713
1093808107,713
1093809857,1186
1093812752,235
1093814428,713
1093818981,713
1093826133,1186
1093830176,2186
1093855306,2186
1093855611,2186
1093887606,567
1093901738,713
1093928707,235
1093931628,567
1093937872,1186
1093955338,235
1093989691,1476
1104020684,713
1104022631,2293
1104025246,2289
1104025329,713
1104027184,2293
1104031053,713
1104033265,1186
1104036722,713
1104043082,2293
1104048206,2186
1104064088,713
1104065630,6732
1104076199,2186
1104083757,1186
1104085067,1186
1104096288,235
1104105873,1186
1104134329,7178
1104137215,2289
1104138908,2289
1104142314,2293
1104152859,2293
1104155332,713
1104166313,713
1104183235,713
1104185826,713
1104191055,5921
1104202761,713
1104225408,7324
1104225515,1186
1104237403,2307
1104238153,1186
1104250406,2307
1104264738,2186
1104266550,1474
1104269067,1186
1104278043,1476
1104291533,2307
1104295070,2293
1104378538,2293
1104802271,1186
1104804145,1901
1104808641,2293
1104810274,1186
1104812478,2293
1104812551,2293
1104814862,2293
1104815430,1474
1104817667,1186
1104817907,1186
1104818269,1186
1104818889,2293
1104820760,1186
1104823616,2293
1104825769,1186
1104826924,1186
1104827534,6753
1104829340,235
1104831114,713
1104831122,713
1104832450,1295
1104836741,2293
1104837327,1295
1104838606,2307
1104839083,713
1104850130,567
1104854124,275
1104859115,713
1104861624,1186
1104862093,2307
1104862234,713
1104863554,1186
1104865310,6767
1104866185,1295
1104868678,1186
1104871029,2289
1104875459,2289
1104876119,5062
1104879352,1186
1104879774,2186
1104887074,1186
1104888726,567
1104890003,2289
1104897164,567
1104905694,2293
1104911387,713
1104912013,713
1104933738,2289
1104951177,2307
1104961085,1465
1104968817,2307
1104973080,2293
1104973924,1474
1104982701,2307
1104984780,1186
1104987262,5765
1104989581,1186
1104997337,7211
1114001229,1186
1114004017,235
1114004983,235
1114010386,2307
1114010741,169
1114019528,713
1114019536,713
1114019833,567
1114020336,2293
1114023355,713
1114026549,713
1114034675,567
1114037611,235
1114041548,2293
1114043189,5882
1114043197,5882
1114054905,713
1114062197,2307
1114065398,567
1114074085,2289
1114074093,567
1114085834,2289
1114094935,1476
1114097342,1186
1114099132,1295
1114101128,2293
1114101300,1939
1114104494,1186
1114120524,7032
1114121712,567
1114141850,713
1114151479,713
1114152410,2186
1114164787,2293
1114174547,713
1114191731,713
1114209301,2293
1114216033,713
1114234523,6747
1114241437,2293
1114243789,2293
1114247848,713
1114257391,2293
1114260254,713
1114271376,2293
1114283876,2293
1114291440,2293
1114303773,275
1114311644,2293
1114321023,2186
1114326766,1186
1114329521,1476
1114340007,275
1114376977,5873
1114900131,567
1114912656,2293
1114913357,275
1114914900,235
1114916095,2289
1114927936,2293
1114928777,1295
1114952330,2186
1114952983,2307
1114953080,2186
1114956687,1476
1114960143,275
1114960622,2307
1114961513,2293
1114961596,2293
1114965472,2186
1114966355,235
1114966835,1186
1114967023,169
1114967353,2293
1114967684,713
1114968609,713
1114969383,2307
1114973237,2186
1114974979,5553
1114976164,1186
1114979184,567
1114990231,567
1114996378,5877
1114997038,1474
1124003504,2293
1124003561,2186
1124004593,713
1124005145,235
1124007919,2293
1124007984,2293
1124012950,713
1124014360,1465
1124014501,2293
1124017900,1186
1124020011,275
1124024344,2293
1124025192,1186
1124029699,1295
1124032255,1186
1124033139,1186
1124040050,2293
1124043880,235
1124052857,2293
1124052873,2186
1124061676,2186
1124065255,2293
1124065362,2293
1124065420,1186
1124066683,1186
1124067533,1186
1124069836,2293
1124073473,2186
1124075635,235
1124083720,2293
1124086939,2186
1124087002,2293
1124096904,2186
1124097126,2289
1124098777,713
1124102249,713
1124104211,1476
1124108279,2293
1124111257,169
1124115241,713
1124115258,713
1124135280,713
1124139456,713
1124145636,713
1124150016,1295
1124152483,2186
1124159710,1476
1124173125,7100
1124175096,713
1124175260,1186
1124175914,2293
1124175922,2293
1124175948,713
1124219969,1186
1124222609,713
1124226477,1186
1124226501,2289
1124238951,2186
1124242508,713
1124246681,567
1124246954,2307
1124252432,275
1124253075,235
1124261920,2289
1124262175,2293
1124292081,713
1124308192,7512
1124323449,713
1124323894,713
1124324637,2186
1124345814,713
1124346564,169
1124354162,169
1124362215,235
1124369806,5640
1124370630,713
1124381371,567
1124382643,6747
1124387709,713
1124420880,2307
1124428107,1186
1124438601,2289
1124443403,2186
1124450812,5650
1124459185,2307
1124466107,1476
1124467451,1186
1124474663,2293
1124491584,713
1124578687,1186
1134102304,1186
1134103831,2293
1134110505,713
1134114630,713
1134117690,2186
1134119902,1186
1134121130,2293
1134122310,713
1134127392,713
1134128739,713
1134131915,2293
1134145204,2293
1134150337,713
1134153877,2186
1134154461,2289
1134158462,2293
1134162134,2307
1134163694,1474
1134168982,2293
1134178171,1186
1134186042,2293
1134186190,1186
1134191067,713
1134202377,2186
1134203243,713
1134210149,1465
1134211543,713
1134211550,713
1134213648,2293
1134216245,713
1134216633,2307
1134222839,713
1134225089,2186
1134239874,713
1134247570,2186
1134267008,713
1134267156,713
1134276009,1186
1134295793,1186
1134301096,1186
1134316946,6935
1134321235,1186
1134324544,567
1134325947,1186
1134337983,713
1134346323,1186
1134351133,2307
1134355647,567
1134357718,2293
1134377922,1186
1134399090,1186
1134410129,2289
1134410608,713
1134418676,713
1134421555,713
1134451412,1476
1134470529,3952
1134471725,1186
1134476021,1186
1134483944,7033
1134486467,713
1134497407,2293
1134509706,1295
1134521792,1186
1134527237,2307
1134530140,2293
1134534142,1186
1134545197,713
1134549470,1186
1134557481,1186
1134558133,713
1134592884,713
1134672314,2293
1144205519,1186
1144206004,567
1144209495,2186
1144211830,1186
1144214701,2293
1144216482,567
1144216516,1186
1144220310,1186
1144220450,713
1144222035,1476
1144223223,6503
1144224981,1186
1144227778,2307
1144237140,2293
1144237751,567
1144241985,713
1144245135,2186
1144248865,713
1144255324,1465
1144259631,1186
1144264458,2307
1144267279,1303
1144270224,235
1144273061,235
1144274416,2186
1144283672,713
1144283896,2293
1144285099,1186
1144288747,1295
1144290529,713
1144298050,235
1144298761,2307
1144299108,1186
1144299306,2186
1144299496,2186
1144305152,1186
1144309121,2293
1144311580,2293
1144312554,713
1144312562,713
1144316019,713
1144317660,713
1144325044,2289
1144377003,713
1144377011,713
1144377029,713
1144377946,713
1144377953,713
1144381450,567
1144383738,235
1144392200,5860
1144408030,2186
1144409566,7034
1144409830,1186
1144411323,713
1144411331,235
1144412958,2293
1144413956,1186
1144419607,275
1144426305,1186
1144452756,6865
1144464843,713
1144469826,713
1144473547,6849
1144475708,713
1144479098,1476
1144502337,2307
1144517079,2289
1144541905,1186
1144544719,2293
1144554536,3543
1144556168,1186
1144556242,567
1144565441,1186
1144580408,6863
1144582081,6503
1144585654,2293
1144587205,713
1144588690,713
1144611260,2186
1144618133,275
1144625963,713
1144650904,235
1144653155,567
1144664376,2293
1144667288,1186
1144668286,567
1144762113,2307
1144772153,1186
1144776501,7179
1154303592,713
1154309896,1186
1154311413,713
1154312908,1186
1154312999,1186
1154313302,1186
1154313708,2293
1154320513,2293
1154324192,6503
1154324325,1186
1154328060,2186
1154334035,5695
1154339737,713
1154342046,2293
1154344836,567
1154350759,713
1154354538,2293
1154359289,713
1154359602,713
1154365518,2293
1154366409,1186
1154367696,713
1154376259,1186
1154380723,1295
1154386035,2293
1154392918,2186
1154394344,1186
1154398105,567
1154413573,713
1154418218,2186
1154418267,713
1154420594,713
1154425361,567
1154436590,713
1154445591,1465
1154478956,713
1154478964,713
1154491207,2293
1154501443,567
1154502680,429
1154512069,1295
1154512275,713
1154518116,1465
1154524908,257
1154534923,2186
1154539591,2289
1154560555,2293
1154576825,2289
1154596732,2186
1154597458,713
1154602282,6861
1154615508,2293
1154625549,2307
1154625580,713
1154637288,235
1154647188,1186
1154654440,6849
1154687499,2186
1154692960,713
1154699338,713
1154702736,6875
1154728467,2186
1154729481,1186
1154747889,1295
1154768489,6867
1154790335,713
1154863298,1295
1164402392,1186
1164404315,713
1164426979,1186
1164437265,2186
1164447140,235
1164448437,2307
1164457867,713
1164461315,1186
1164468906,713
1164485272,713
1164489720,235
1164490488,1295
1164503827,235
1164504544,2293
