npi,communityId
1003013947,1406
1003019902,1410
1003028770,58
1003031261,6752
1003037029,58
1003050972,1410
1003063314,1410
1003071333,6748
1003075862,2444
1003077728,1410
1003090424,1406
1003098963,1410
1003101684,58
1003104571,1410
1003111071,1176
1003112277,2444
1003113200,1406
1003145541,6752
1003149147,1410
1003152208,7
1003153743,1176
1003168287,6752
1003184243,1410
1003185810,3864
1003198359,2444
1003202292,1176
1003224155,6752
1003245739,1410
1003258484,1410
1003297318,2436
1003354861,1410
1003801788,1406
1003801937,7
1003802042,1406
1003811696,1410
1003813593,1406
1003815697,1406
1003815978,1406
1003819277,6752
1003819772,1406
1003833872,58
1003845264,2444
1003847492,7
1003854001,2444
1003854258,2444
1003855537,1410
1003858267,3698
1003860982,1406
1003862566,6752
1003863580,7
1003871815,2444
1003875824,7088
1003876236,1406
1003897380,1406
1003903113,1410
1003903121,1406
1003903139,1410
1003905969,6752
1003906751,6752
1003907049,2444
1003907775,2444
1003908435,1410
1003910688,6752
1003910712,1176
1003914201,2444
1003922881,58
1003941659,6752
1003963976,58
1003990110,1410
1003991167,6808
1013004142,1410
1013009448,1410
1013010719,1406
1013013234,58
1013025519,1406
1013026806,6808
1013042910,6752
1013058361,6270
1013064153,1410
1013064831,3698
1013064989,1410
1013067156,1406
1013071984,6752
1013074848,1176
1013079383,1410
1013095264,1406
1013107697,1410
1013109511,2444
1013116169,7174
1013118082,1410
1013118090,1410
1013154723,58
1013156231,6752
1013175215,3698
1013178383,1406
1013179860,1176
1013182476,1176
1013182526,6752
1013184340,6752
1013201649,1410
1013224617,1410
1013226026,3698
1013233279,1176
1013233865,6752
1013236892,2170
1013245588,2444
1013273044,6752
1013285972,6752
1013302777,1176
1013312974,1410
1013313626,6752
1013342062,1406
1013348705,2444
1013386929,7
1013391622,1406
1013453729,1410
1013453844,1176
1013455310,6752
1013461912,1410
1013465699,2444
1013902782,1406
1013903921,6752
1013905322,6752
1013908730,6752
1013918499,6752
1013920735,6752
1013922020,1176
1013922038,1406
1013928506,1410
1013930494,7
1013945096,1410
1013957976,6752
1013958776,2444
1013960905,7
1013961473,2444
1013962687,2444
1013964741,6748
1013967157,2444
1013970649,1406
1013973387,1406
1013977669,6752
1013983832,7
1013986603,3698
1013991850,1406
1013992106,1406
1013996222,1406
1013996776,1404
1023000999,1406
1023004041,6752
1023004264,1406
1023009818,6752
1023023041,1406
1023023058,1410
1023025475,3698
1023046554,6752
1023046794,6752
1023046901,1410
1023047792,1404
1023055126,1406
1023064540,1406
1023065232,6752
1023066149,2444
1023069887,1410
1023076882,2444
1023078243,2444
1023094851,1406
1023099074,1176
1023100435,1410
1023103462,1406
1023105137,1410
1023105145,1410
1023105152,1410
1023109105,6752
1023115961,58
1023152303,1410
1023165909,1410
1023171576,1404
1023189768,6808
1023192135,1410
1023200235,2444
1023204278,6752
1023205531,6752
1023220753,1410
1023223898,7
1023245602,1404
1023251428,1406
1023252566,1410
1023253549,1404
1023259132,6752
1023262466,1410
1023272754,6752
1023286176,1176
1023290251,1406
1023295664,6752
1023302429,6274
